index,Position,Track Name,Artist,Streams,URL,Date,Track Id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
1151,2,Callaita,Bad Bunny,677030,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI,2019-08-24,2TH65lNHgvLxCKXM3apjxI,0.6,0.61,250534,0.624,2.12e-06,2,0.243,-4.773,1,0.309,176.169,4,0.244
1152,3,LA CANCIÓN,J Balvin,632890,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18,2019-08-24,0fea68AdmYNygeTGI4RC18,0.152,0.754,242573,0.646,1.85e-05,7,0.108,-5.795,1,0.317,176.089,4,0.429
1153,4,No Me Conoce - Remix,Jhay Cortez,558878,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P,2019-08-24,4R8BJggjosTswLxtkw8V7P,0.145,0.806,309120,0.786,0.0,10,0.0935,-3.831,0,0.0741,91.973,4,0.58
1154,5,Tutu,Camilo,550661,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ,2019-08-24,1nocRtwyNPVtGcIJqfgdzZ,0.273,0.731,178613,0.832,0.0,9,0.0665,-2.592,1,0.0503,146.013,4,0.94
1155,6,11 PM,Maluma,497132,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d,2019-08-24,7KbF6AdprOXEEHlsq11Z6d,0.217,0.777,175733,0.712,0.0,10,0.091,-4.84,1,0.277,95.692,4,0.68
1156,7,Soltera (Remix),Lunay,437217,https://open.spotify.com/track/2qMnZF5Ja2WvmfbblByQza,2019-08-24,2qMnZF5Ja2WvmfbblByQza,0.327,0.795,266192,0.755,0.0,5,0.464,-4.788,1,0.0454,92.02,4,0.816
1157,8,QUE PRETENDES,J Balvin,397288,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt,2019-08-24,25ZAibhr3bdlMCLmubZDVt,0.0275,0.639,222347,0.791,0.0,10,0.362,-4.443,0,0.253,92.603,4,0.939
1158,9,Señorita,Shawn Mendes,395141,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,2019-08-24,6v3KW9xbzN5yKLt9YKDYA2,0.0392,0.759,190800,0.548,0.0,9,0.0828,-6.049,0,0.029,116.967,4,0.749
1159,10,Con Altura,ROSALÍA,390456,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM,2019-08-24,2qG5sZ7Si6sdK74qLxedYM,0.39,0.882,161627,0.689,0.00325,6,0.0501,-4.027,1,0.124,97.963,4,0.746
1160,11,Otro Trago - Remix,Sech,388914,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL,2019-08-24,4bTZeO72FwMa6wKOiqoynL,0.0711,0.725,287773,0.79,1.14e-06,0,0.0602,-2.331,1,0.197,175.988,4,0.763
1161,12,Otro Trago,Sech,382884,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr,2019-08-24,1Ej96GIBCTvgH7tNX1r3qr,0.136,0.747,225933,0.7,0.000167,0,0.11,-4.669,1,0.341,176.036,4,0.62
1162,13,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,321623,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx,2019-08-24,6osaMSJh9NguagEDQcZaKx,0.276,0.823,185195,0.71,2.17e-06,6,0.152,-3.896,0,0.0688,96.024,4,0.376
1163,14,Baila Conmigo (feat. Kelly Ruiz),Dayvi,320747,https://open.spotify.com/track/4Clmg1g8n2yBYG13Z1oSdG,2019-08-24,4Clmg1g8n2yBYG13Z1oSdG,0.00903,0.745,189818,0.972,0.465,7,0.297,-3.506,1,0.0774,128.031,4,0.556
1164,15,Tra Tra Tra Remix,Ghetto Kids,300384,https://open.spotify.com/track/4YqCBC4FwzGXuhixt5cgmm,2019-08-24,4YqCBC4FwzGXuhixt5cgmm,0.0532,0.847,171000,0.736,0.000142,1,0.0302,-4.542,1,0.266,160.012,4,0.876
1165,16,Tal Vez,Paulo Londra,282163,https://open.spotify.com/track/5jW3rF4URMdK7tO2xjS5EI,2019-08-24,5jW3rF4URMdK7tO2xjS5EI,0.25,0.855,263899,0.649,0.0,8,0.0801,-2.443,1,0.151,161.986,4,0.741
1166,17,"Yo x Ti, Tu x Mi",ROSALÍA,274199,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk,2019-08-24,7BlBVFwvbWvcwNcUarQmjk,0.462,0.78,201040,0.759,0.000868,1,0.143,-3.292,1,0.225,91.952,4,0.579
1167,18,Bellacoso,Residente,270753,https://open.spotify.com/track/1kMUGCt7XLDc5Q64Vl0H8S,2019-08-24,1kMUGCt7XLDc5Q64Vl0H8S,0.0651,0.774,257865,0.851,0.0,11,0.0568,-2.795,0,0.255,180.086,4,0.695
1168,19,Chicharrón,Guaynaa,269991,https://open.spotify.com/track/5UVa8Qqb9L1dVxl3jKQ5J1,2019-08-24,5UVa8Qqb9L1dVxl3jKQ5J1,0.445,0.734,195867,0.789,9.06e-05,10,0.498,-4.305,0,0.454,76.182,4,0.811
1169,20,HP,Maluma,261729,https://open.spotify.com/track/1LIqNVhaIgxXUt2eVoIQJ3,2019-08-24,1LIqNVhaIgxXUt2eVoIQJ3,0.252,0.837,184436,0.791,1.14e-06,4,0.188,-3.157,0,0.0773,91.98,4,0.618
1170,21,La Boca - Remix,Mau y Ricky,250523,https://open.spotify.com/track/2EEmzqzM70CybVspgM7YRT,2019-08-24,2EEmzqzM70CybVspgM7YRT,0.236,0.691,188468,0.773,0.0,11,0.329,-3.812,0,0.0355,92.992,4,0.85
1171,22,Amor A Primera Vista,Los Angeles Azules,247969,https://open.spotify.com/track/1E7RHPXA9sZ30qfms18J7J,2019-08-24,1E7RHPXA9sZ30qfms18J7J,0.223,0.675,221347,0.821,5.11e-05,0,0.149,-6.017,1,0.0668,170.163,4,0.96
1172,23,Si Supieras,Daddy Yankee,226792,https://open.spotify.com/track/7MRU4vOkywuhZ9kbFiPuiu,2019-08-24,7MRU4vOkywuhZ9kbFiPuiu,0.291,0.691,241880,0.894,0.0,9,0.104,-1.681,0,0.115,184.019,4,0.623
1173,24,Verte Ir,DJ Luian,223748,https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR,2019-08-24,4lzxJ4jCuFDXXGkE1LmpKR,0.391,0.857,267500,0.647,1.2e-06,11,0.0842,-4.152,0,0.0984,95.982,4,0.553
1174,25,Te Vi,Piso 21,221405,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd,2019-08-24,059bcIhyc2SBwm6sw2AZzd,0.0446,0.877,231848,0.777,3.46e-05,1,0.0863,-4.246,1,0.117,102.02,4,0.706
